current_npc_index	current_npc_name	old_map	old_xy	original_identity	original_map	original_xy	hero_kill_map	hero_kill_xy	match_method	map_relation	confidence	walkable	overlap_with	apply_status	auto_placement_rule	auto_placement_basis	auto_placement_candidates	target_reason	topology_anchors	identity_source	warnings	non_position_fields_untouched	historical_audit
23	Haylee	1	"{""x"": 363, ""y"": 176}"	04Potion_Wooma	1	"{""x"": 181, ""y"": 215}"	1	"{""x"": 363, ""y"": 177}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 363, ""y"": 177, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}, {""x"": 364, ""y"": 176, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}, {""x"": 365, ""y"": 182, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""23"", ""name"": ""Haylee"", ""method"": ""C-语义"", ""old"": ""1(181,215)"", ""new"": ""1(363,176)"", ""note"": ""华玉药店 (04Potion_Wooma)"", ""source"": ""Mud3:04Potion_Wooma"", ""remark"": ""华玉药店""}"
24	Cory	1	"{""x"": 394, ""y"": 116}"		1	"{""x"": 396, ""y"": 116}"	1	"{""x"": 364, ""y"": 176}"	pending	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 364, ""y"": 176, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}, {""x"": 365, ""y"": 182, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}, {""x"": 366, ""y"": 183, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	pending: Merchant.txt/parsed Merchant snapshot unavailable	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""24"", ""name"": ""Cory"", ""method"": ""E-避让"", ""old"": ""1(396,116)"", ""new"": ""1(394,116)"", ""note"": ""原与 [294] 仓库系统 同格"", ""source"": ""同格避让"", ""remark"": ""与NPC294重叠,移至邻格""}"
25	Flora	1	"{""x"": 387, ""y"": 118}"	04Potion_DoGwan2	1	"{""x"": 189, ""y"": 176}"	1	"{""x"": 365, ""y"": 182}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 365, ""y"": 182, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}, {""x"": 366, ""y"": 183, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}, {""x"": 367, ""y"": 182, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""25"", ""name"": ""Flora"", ""method"": ""C-语义"", ""old"": ""1(189,176)"", ""new"": ""1(387,118)"", ""note"": ""药神 (04Potion_DoGwan2)"", ""source"": ""Mud3:04Potion_DoGwan2"", ""remark"": ""药神""}"
26	Max	1	"{""x"": 382, ""y"": 141}"	10ChestnutMarket_DoGwan	1	"{""x"": 187, ""y"": 215}"	1	"{""x"": 366, ""y"": 183}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 366, ""y"": 183, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}, {""x"": 367, ""y"": 182, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}, {""x"": 381, ""y"": 141, ""score"": 0.35, ""anchor"": {""x"": 382, ""y"": 141}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""26"", ""name"": ""Max"", ""method"": ""C-语义"", ""old"": ""1(187,215)"", ""new"": ""1(382,141)"", ""note"": ""栗子收购 (10ChestnutMarket_DoGwan)"", ""source"": ""Mud3:10ChestnutMarket_DoGwan"", ""remark"": ""栗子收购""}"
27	Melisa	1	"{""x"": 393, ""y"": 113}"	04Potion_DoGwan1	1	"{""x"": 171, ""y"": 167}"	1	"{""x"": 367, ""y"": 182}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 367, ""y"": 182, ""score"": 0.35, ""anchor"": {""x"": 366, ""y"": 182}, ""separation"": 1}, {""x"": 381, ""y"": 141, ""score"": 0.35, ""anchor"": {""x"": 382, ""y"": 141}, ""separation"": 1}, {""x"": 381, ""y"": 198, ""score"": 0.35, ""anchor"": {""x"": 382, ""y"": 198}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""27"", ""name"": ""Melisa"", ""method"": ""C-语义"", ""old"": ""1(171,167)"", ""new"": ""1(393,113)"", ""note"": ""药中 (04Potion_DoGwan1)"", ""source"": ""Mud3:04Potion_DoGwan1"", ""remark"": ""药中""}"
28	Rainier	1	"{""x"": 366, ""y"": 182}"	01Meet_DoGwan	1	"{""x"": 184, ""y"": 219}"	1	"{""x"": 381, ""y"": 141}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 381, ""y"": 141, ""score"": 0.35, ""anchor"": {""x"": 382, ""y"": 141}, ""separation"": 1}, {""x"": 381, ""y"": 198, ""score"": 0.35, ""anchor"": {""x"": 382, ""y"": 198}, ""separation"": 1}, {""x"": 382, ""y"": 140, ""score"": 0.35, ""anchor"": {""x"": 382, ""y"": 141}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""28"", ""name"": ""Rainier"", ""method"": ""C-语义"", ""old"": ""1(184,219)"", ""new"": ""1(366,182)"", ""note"": ""钱老板肉店 (01Meet_DoGwan)"", ""source"": ""Mud3:01Meet_DoGwan"", ""remark"": ""钱老板肉店""}"
30	Mr. Kim	2	"{""x"": 351, ""y"": 219}"	02Weapon_SnakeVally	2	"{""x"": 161, ""y"": 144}"	2	"{""x"": 351, ""y"": 219}"	semantic-audit	exact	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	dry-run	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 351, ""y"": 219, ""score"": 0, ""anchor"": {""x"": 351, ""y"": 219}, ""separation"": 0}]"	audit target coordinate reused only for exact/renamed map relation	"[{""x"": 351, ""y"": 219}, {""x"": 342, ""y"": 235}, {""x"": 337, ""y"": 223}, {""x"": 346, ""y"": 234}, {""x"": 334, ""y"": 224}, {""x"": 343, ""y"": 219}, {""x"": 331, ""y"": 225}, {""x"": 361, ""y"": 226}]"	NpcMover/audit-report.md	[]	True	"{""idx"": ""30"", ""name"": ""Mr. Kim"", ""method"": ""C-语义"", ""old"": ""2(161,144)"", ""new"": ""2(351,219)"", ""note"": ""铁匠啊力 (02Weapon_SnakeVally)"", ""source"": ""Mud3:02Weapon_SnakeVally"", ""remark"": ""铁匠啊力""}"
31	Henry	2	"{""x"": 331, ""y"": 225}"	10Material_SnakeVally	2	"{""x"": 155, ""y"": 168}"	2	"{""x"": 331, ""y"": 225}"	semantic-audit	exact	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	dry-run	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 331, ""y"": 225, ""score"": 0, ""anchor"": {""x"": 331, ""y"": 225}, ""separation"": 0}]"	audit target coordinate reused only for exact/renamed map relation	"[{""x"": 351, ""y"": 219}, {""x"": 342, ""y"": 235}, {""x"": 337, ""y"": 223}, {""x"": 346, ""y"": 234}, {""x"": 334, ""y"": 224}, {""x"": 343, ""y"": 219}, {""x"": 331, ""y"": 225}, {""x"": 361, ""y"": 226}]"	NpcMover/audit-report.md	[]	True	"{""idx"": ""31"", ""name"": ""Henry"", ""method"": ""C-语义"", ""old"": ""2(155,168)"", ""new"": ""2(331,225)"", ""note"": ""啊福材料 (10Material_SnakeVally)"", ""source"": ""Mud3:10Material_SnakeVally"", ""remark"": ""啊福材料""}"
32	Kacy	2	"{""x"": 334, ""y"": 224}"	04Potion_SnakeVally	2	"{""x"": 138, ""y"": 172}"	2	"{""x"": 334, ""y"": 224}"	semantic-audit	exact	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	dry-run	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 334, ""y"": 224, ""score"": 0, ""anchor"": {""x"": 334, ""y"": 224}, ""separation"": 0}]"	audit target coordinate reused only for exact/renamed map relation	"[{""x"": 351, ""y"": 219}, {""x"": 342, ""y"": 235}, {""x"": 337, ""y"": 223}, {""x"": 346, ""y"": 234}, {""x"": 334, ""y"": 224}, {""x"": 343, ""y"": 219}, {""x"": 331, ""y"": 225}, {""x"": 361, ""y"": 226}]"	NpcMover/audit-report.md	[]	True	"{""idx"": ""32"", ""name"": ""Kacy"", ""method"": ""C-语义"", ""old"": ""2(138,172)"", ""new"": ""2(334,224)"", ""note"": ""金中医 (04Potion_SnakeVally)"", ""source"": ""Mud3:04Potion_SnakeVally"", ""remark"": ""金中医""}"
33	Seven	2	"{""x"": 361, ""y"": 226}"	07Grocery_SnakeVally	2	"{""x"": 143, ""y"": 172}"	2	"{""x"": 361, ""y"": 226}"	semantic-audit	exact	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	dry-run	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 361, ""y"": 226, ""score"": 0, ""anchor"": {""x"": 361, ""y"": 226}, ""separation"": 0}]"	audit target coordinate reused only for exact/renamed map relation	"[{""x"": 351, ""y"": 219}, {""x"": 342, ""y"": 235}, {""x"": 337, ""y"": 223}, {""x"": 346, ""y"": 234}, {""x"": 334, ""y"": 224}, {""x"": 343, ""y"": 219}, {""x"": 331, ""y"": 225}, {""x"": 361, ""y"": 226}]"	NpcMover/audit-report.md	[]	True	"{""idx"": ""33"", ""name"": ""Seven"", ""method"": ""C-语义"", ""old"": ""2(143,172)"", ""new"": ""2(361,226)"", ""note"": ""流浪卢杂货 (07Grocery_SnakeVally)"", ""source"": ""Mud3:07Grocery_SnakeVally"", ""remark"": ""流浪卢杂货""}"
