kind	ident	value	comment	src_line
action	QA_GUILDSECESSION	123	문파탈퇴	2587
action	QA_GIVETOLOVER	124	연인에게 아이템 주기	2588
action	QA_INCMEMORIALCOUNT	125	NPC별 카운트 증가	2589
action	QA_DECMEMORIALCOUNT	126	NPC별 카운트 감소	2590
action	QA_SAVEMEMORIALCOUNT	127	NPC별 카운트 파일 저장	2591
action	QA_INSTANTPOWERUP	128	순간 능력치 상승	2593
action	QA_INSTANTEXPDOUBLE	129	순간 경험치 2배	2594
action	QA_HEALING	130	힐링	2595
action	QA_UNIFYITEM	131	아이템을 합친다	2596
action	QA_MISSION	132	미션 설정	2598
action	QA_MOBPLACE	133	미션몹 배치	2599
